CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
50001.0,1.0,4.0,Mobile Phone,3.0,6.0,Debit Card,Female,3.0,3.0,Laptop & Accessory,2.0,Single,9.0,1.0,11.0,1.0,1.0,5.0,159.93
50002.0,1.0,16.98059911099209,Phone,1.0,8.0,UPI,Male,3.0,4.0,Mobile,3.0,Single,7.0,1.0,15.0,0.0,1.0,0.0,120.9
50003.0,1.0,16.98059911099209,Phone,1.0,30.0,Debit Card,Male,2.0,4.0,Mobile,3.0,Single,6.0,1.0,14.0,0.0,1.0,3.0,120.28
50004.0,1.0,0.0,Phone,3.0,15.0,Debit Card,Male,2.0,4.0,Laptop & Accessory,5.0,Single,8.0,0.0,23.0,0.0,1.0,3.0,134.07
50005.0,1.0,0.0,Phone,1.0,12.0,CC,Male,2.785906268696621,3.0,Mobile,5.0,Single,3.0,0.0,11.0,1.0,1.0,3.0,129.6
50006.0,1.0,0.0,Computer,1.0,22.0,Debit Card,Female,3.0,5.0,Mobile Phone,5.0,Single,2.0,1.0,22.0,4.0,6.0,7.0,139.19
50007.0,1.0,16.98059911099209,Phone,3.0,11.0,Cash on Delivery,Male,2.0,3.0,Laptop & Accessory,2.0,Divorced,4.0,0.0,14.0,0.0,1.0,0.0,120.86
50008.0,1.0,16.98059911099209,Phone,1.0,6.0,CC,Male,3.0,3.0,Mobile,2.0,Divorced,3.0,1.0,16.0,2.0,2.0,0.0,122.93
50009.0,1.0,13.0,Phone,3.0,9.0,E wallet,Male,2.785906268696621,4.0,Mobile,3.0,Divorced,2.0,1.0,14.0,0.0,1.0,2.0,126.83
50010.0,1.0,16.98059911099209,Phone,1.0,31.0,Debit Card,Male,2.0,5.0,Mobile,3.0,Single,2.0,0.0,12.0,1.0,1.0,1.0,122.93
